price,price_per_sm,date_added,number_of_rooms,area,floor_on,floors_total,district,street
280,7.0,2021-03-22 14:44:48.179705,2,40.0,1,4,Naujoji Vilnia, Parko g.
330,6.47,2021-03-22 14:35:48.179705,2,51.0,1,16,Šeškinė, Ukmergės g.
175,9.72,2021-03-22 14:17:48.179705,1,18.0,4,4,Lazdynai, Šiltnamių g.
320,9.7,2021-03-22 14:01:48.179705,2,33.0,4,5,Šnipiškės, Kalvarijų g.
260,11.82,2021-03-22 13:59:48.179705,1,22.0,2,5,Antakalnis, Žolyno g.
300,10.71,2021-03-22 13:46:48.179705,1,28.0,2,5,Naujoji Vilnia, Genių g.
330,10.0,2021-03-22 13:46:48.179705,1,33.0,5,5,Visoriai, Bajorų kel.
175,9.78,2021-03-22 13:46:48.179705,1,17.9,5,5,Antakalnis, V. Grybo g.
325,16.25,2021-03-22 13:46:48.179705,1,20.0,4,5,Senamiestis, Subačiaus g.
330,6.6,2021-03-22 13:46:48.179705,2,50.0,4,5,Šeškinė, Šeškinės g.
200,8.33,2021-03-22 13:46:48.179705,1,24.0,3,3,Salininkai, Mechanikų g.
360,5.71,2021-03-22 13:46:48.179705,2,63.0,3,12,Fabijoniškės, Salomėjos Nėries g.
360,5.71,2021-03-18 14:46:48.179705,2,63.0,3,12,Fabijoniškės, Salomėjos Nėries g.
280,7.0,2021-03-22 12:46:48.179705,1,40.0,5,9,Fabijoniškės, Fabijoniškių g.
280,7.0,2021-03-18 14:46:48.179705,1,40.0,5,9,Fabijoniškės, Fabijoniškių g.
250,12.18,2021-03-22 12:46:48.179705,1,20.53,4,5,Baltupiai, Ateities g.
280,13.33,2021-03-22 12:46:48.179705,1,21.0,8,9,Žirmūnai, Žirmūnų g.
400,7.14,2021-03-22 12:46:48.179705,2,56.0,4,5,Naujininkai, Dzūkų g.
300,8.57,2021-03-22 11:46:48.179705,1,35.0,4,9,Pašilaičiai, Žemynos g.
320,8.65,2021-03-22 11:46:48.179705,1,37.0,2,5,Lazdynai, Erfurto g.
400,12.77,2021-03-22 11:46:48.179705,1,31.32,4,4,Lazdynėliai, Lazdynėlių g.
400,12.9,2021-03-08 14:46:48.179705,2,31.0,4,4,Lazdynėliai, Lazdynėlių g.
240,10.91,2021-03-22 10:46:48.179705,1,22.0,9,9,Žirmūnai, Minties g.
240,9.23,2021-03-22 10:46:48.179705,1,26.0,5,5,Šnipiškės, Apkasų g.
350,10.94,2021-03-22 10:46:48.179705,1,32.0,2,3,Santariškės, Santariškių g.
250,13.89,2021-03-22 10:46:48.179705,1,18.0,8,16,Fabijoniškės, Salomėjos Nėries g.
290,9.93,2021-03-22 10:46:48.179705,1,29.19,2,5,Visoriai, Jono Kairiūkščio g.
350,12.96,2021-03-22 09:46:48.179705,2,27.0,1,7,Žirmūnai, M. Katkaus g.
350,12.96,2021-03-22 09:46:48.179705,2,27.0,1,7,Šiaurės miestelis, M. Katkaus g.
290,9.93,2021-03-22 09:46:48.179705,1,29.19,2,5,Santariškės, Jono Kairiūkščio g.
400,6.35,2021-03-22 09:46:48.179705,2,63.0,2,9,Lazdynėliai, Jonažolių g.
290,9.93,2021-03-22 09:46:48.179705,1,29.19,2,5,Jeruzalė, Jono Kairiūkščio g.
300,7.89,2021-03-22 09:46:48.179705,1,38.0,1,9,Pašilaičiai, Žemynos g.
250,6.25,2021-03-22 09:46:48.179705,1,40.0,3,4,Naujoji Vilnia, Linksmoji g.
360,9.0,2021-03-22 09:46:48.179705,2,40.0,1,5,Pašilaičiai, Gabijos g.
200,9.52,2021-03-22 09:46:48.179705,1,21.0,9,9,Naujininkai, Šaltkalvių g.
350,8.75,2021-03-22 08:46:48.179705,2,40.0,1,2,Senamiestis, Pylimo g.
380,9.5,2021-03-22 08:46:48.179705,1,40.0,1,4,Užupis, Polocko g.
340,7.91,2021-03-22 08:46:48.179705,1,43.0,5,12,Fabijoniškės, Salomėjos Nėries g.
400,6.35,2021-03-22 08:46:48.179705,3,63.0,8,9,Lazdynai, Architektų g.
380,6.13,2021-03-22 08:46:48.179705,2,62.0,4,9,Pašilaičiai, Girulių g.
350,12.96,2021-03-22 08:46:48.179705,1,27.0,4,4,Antakalnis, Petro Rimšos g.
140,7.0,2021-03-22 08:46:48.179705,1,20.0,1,17,Fabijoniškės, S. Stanevičiaus g.
400,8.0,2021-03-22 08:46:48.179705,2,50.0,3,5,Antakalnis, Antakalnio g.
350,10.29,2021-03-22 08:46:48.179705,1,34.0,2,5,Antakalnis, Filaretų g.
240,10.43,2021-03-22 08:46:48.179705,1,23.0,4,9,Antakalnis, Antakalnio g.
330,14.35,2021-03-22 08:46:48.179705,1,23.0,2,5,Naujamiestis, Kedrų g.
290,14.5,2021-03-22 08:46:48.179705,1,20.0,2,5,Naujamiestis, Kedrų g.
330,13.2,2021-03-22 08:46:48.179705,2,25.0,3,5,Naujamiestis, Kauno g.
270,16.88,2021-03-22 08:46:48.179705,1,16.0,3,5,Naujamiestis, Kedrų g.
240,15.0,2021-03-22 08:46:48.179705,1,16.0,1,5,Naujamiestis, Kedrų g.
350,12.07,2021-03-22 08:46:48.179705,1,29.0,4,4,Naujamiestis, Panerių g.
320,13.91,2021-03-22 07:46:48.179705,1,23.0,5,9,Antakalnis, Antakalnio g.
400,9.39,2021-03-22 07:46:48.179705,2,42.6,2,3,Santariškės, Santariškių g.
300,6.0,2021-03-22 07:46:48.179705,2,50.0,4,5,Žemieji Paneriai, Vaduvos g.
400,14.81,2021-03-22 06:46:48.179705,2,27.0,1,3,Senamiestis, Pylimo g.
420,16.15,2021-03-15 14:46:48.179705,2,26.0,1,3,Senamiestis, Pylimo g.
330,8.05,2021-03-22 06:46:48.179705,1,41.0,3,4,Jeruzalė, Mykolo Marcinkevičiaus g.
330,8.05,2021-03-11 14:46:48.179705,1,41.0,3,4,Jeruzalė, Mykolo Marcinkevičiaus g.
350,10.0,2021-03-22 06:46:48.179705,2,35.0,5,7,Pašilaičiai, Pavilnionių g.
280,6.83,2021-03-22 06:46:48.179705,1,41.0,5,5,Fabijoniškės, Fabijoniškių g.
400,14.04,2021-03-22 05:46:48.179705,1,28.5,3,7,Šnipiškės, Linkmenų g.
270,14.21,2021-03-22 05:46:48.179705,1,19.0,3,3,Šnipiškės, A. Juozapavičiaus g.
280,6.83,2021-03-21 20:46:48.179705,1,41.0,2,5,Fabijoniškės, Fabijoniškių g.
390,11.82,2021-03-21 19:46:48.179705,2,33.0,2,2,Naujamiestis, Naugarduko g.
300,9.38,2021-03-21 18:46:48.179705,1,32.0,5,13,Fabijoniškės, L. Giros g.
190,7.6,2021-03-21 18:46:48.179705,1,25.0,6,9,Naujamiestis, Savanorių pr.
230,14.38,2021-03-21 17:46:48.179705,1,16.0,5,5,Naujamiestis, Geležinio Vilko g.
360,12.0,2021-03-21 16:46:48.179705,1,30.0,5,9,Antakalnis, P. Vileišio g.
